City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
57,Meulaboh,ID,4.1363,96.1285,75.49,94,100,5.66,overcast clouds
58,Cape Town,ZA,-33.9258,18.4232,64.11,67,0,2.3,clear sky
59,Bredasdorp,ZA,-34.5322,20.0403,62.28,80,100,14.5,overcast clouds
60,Maniitsoq,GL,65.4167,-52.9,32.97,83,100,30.4,light snow
61,Hami,CN,42.8,93.45,28.98,36,0,3.02,clear sky
62,Keetmanshoop,NA,-26.5833,18.1333,61.74,44,1,10.96,clear sky
63,Rikitea,PF,-23.1203,-134.9692,73.94,58,24,3.27,few clouds
64,Punta Arenas,CL,-53.15,-70.9167,41.11,60,40,24.16,scattered clouds
65,Saskylakh,RU,71.9167,114.0833,-14.12,97,99,4.25,overcast clouds
66,Seoul,KR,37.5683,126.9778,53.17,68,75,4.61,haze
67,Krasnoselkup,RU,65.7,82.4667,-1.14,93,100,20.67,overcast clouds
68,Bethel,US,41.3712,-73.414,44.96,73,1,0.0,clear sky
69,Guerrero Negro,MX,27.9769,-114.0611,62.83,84,100,10.74,overcast clouds
70,Mehamn,NO,71.0357,27.8492,27.68,66,100,22.68,light snow
71,Nanortalik,GL,60.1432,-45.2371,36.75,99,100,7.2,moderate rain
72,Lorengau,PG,-2.0226,147.2712,86.45,60,20,6.13,few clouds
73,Mar Del Plata,AR,-38.0023,-57.5575,74.08,63,0,3.0,clear sky
74,Linguere,SN,15.3953,-15.1193,81.34,22,6,11.16,clear sky
75,New Norfolk,AU,-42.7826,147.0587,70.66,40,36,1.99,scattered clouds
76,Grindavik,IS,63.8424,-22.4338,32.47,93,90,19.57,light snow
77,Tiksi,RU,71.6872,128.8694,-8.23,91,100,6.93,overcast clouds
78,Georgetown,MY,5.4112,100.3354,85.89,81,20,5.01,few clouds
79,Puerto Ayora,EC,-0.7393,-90.3518,69.1,82,66,8.48,broken clouds
80,Carutapera,BR,-1.195,-46.02,79.18,84,15,6.55,few clouds
